word,log_odds_ratio
aaos,0.9492859989711093
aaron,0.3911176597000226
abandon,-0.15097102690987857
abandoned,2.341970158189771
abate,0.9492859989711093
abbott,-0.4418327522790392
abbvie,0.2553167879497494
abc,1.2478246868547855
abdomen,-0.39208716937372323
abdominal,-0.11003576210995795
aberdeen,0.9492859989711093
aberrant,0.2553167879497494
abilities,0.4440210381224541
ability,0.12222732551136166
abiraterone,0.9492859989711093
ablation,-0.6634440975064683
able,0.29345903696011355
abnormal,-0.2597196348269259
abnormalities,-0.20762198903651705
abnormality,-0.761587565844998
abnormally,-0.440651417233208
about,-0.5413805252716587
above,-0.15166620649959636
abraham,0.2553167879497494
abraxane,0.9492859989711093
abroad,-0.43947648351686486
absence,-0.08254404898128925
absolute,-2.010053918155344
absolutely,-0.5399822080574463
absorb,0.34557178340157024
absorbable,0.9492859989711093
absorbed,0.7336932749542951
absorbing,0.9505893678220081
absorbs,-0.6634440975064683
absorptiometry,-0.15097102690987857
absorption,0.5478981083809825
abstain,0.2553167879497494
abstained,0.9492859989711093
abstract,0.9558415325036139
abstractly,0.9492859989711093
abundance,0.03182848236579076
abuse,-0.8134333464344473
academic,0.3118243777733805
academy,0.11741984927225499
acai,0.9505893678220081
accelerate,0.9505893678220081
accelerated,0.7713763521664078
accelerates,0.9492859989711093
acceleration,-0.15097102690987857
accelerometers,0.9492859989711093
accept,0.08978853940553527
acceptance,-1.2545338207378445
accepted,-0.8522854018982426
accepts,0.9505893678220081
access,-0.45152040372849717
accessible,-0.3776504199252875
accident,0.13815033848081718
accidental,-1.1359239971054669
accidentally,-1.1359239971054669
accidents,-1.6255726055531994
accompanied,-0.4430205419423844
accompanies,0.10130111471960909
accompany,-1.0015664995186389
accompanying,-1.0805017901858833
accomplish,0.03182848236579076
accomplished,0.2553167879497494
according,-0.15122432430046065
accordingly,0.6633911307213832
account,-0.6082979665748108
accounted,-0.9303000256809405
accounting,0.48204275167615385
accounts,0.5887830117132038
accredited,1.644558578843368
accumulate,-0.5592612408655856
accumulated,-0.1513178167429542
accumulates,-0.15097102690987857
accumulating,-1.1359239971054669
accuracy,0.6152585570343774
accurate,0.40546510810816455
accurately,0.3636679794297028
accused,0.9492859989711093
acetaminophen,-1.0015664995186389
acetate,-0.43947648351686486
aches,-0.33718626735486995
achievable,0.9492859989711093
achieve,-0.4825551898277352
achieved,-0.21063628196181564
achievement,0.03182848236579076
achieves,0.2553167879497494
achieving,0.43942351673178
aching,1.648000947168411
achy,1.644558578843368
acid,-0.13754098769750425
acids,-0.21063628196181564
ackerman,1.644558578843368
acknowledge,-0.8465903966152131
acknowledged,-0.8580622269743621
acknowledges,-0.9303000256809405
acquire,1.3581844021879974
acquired,0.6164002492629819
acquiring,1.644558578843368
acquisition,-1.0015664995186389
acronym,0.2553167879497494
across,-0.7895724506520101
acs,0.6633911307213832
act,-0.5316422223422903
acted,0.9505893678220081
acting,-0.3093748970630406
actinic,0.9492859989711093
action,-0.2038294880291456
actions,-0.5592612408655856
activate,-0.15166620649959636
activated,0.061569221491724224
activates,0.6633911307213832
activating,-0.1513178167429542
activation,-0.25785419427745526
active,-0.05470307046827418
activities,-0.28011848612922774
activity,0.4253598151152489
actonel,-0.1513178167429542
actress,0.5443015529623803
acts,0.2596967070337106
actual,-0.10090194904587056
actually,-0.34132470891062705
acupressure,0.9492859989711093
acupuncture,0.05519300440224654
acupuncturist,-0.1513178167429542
acute,-0.046268094736722304
ad,-0.09030558007375612
adam,1.3581844021879974
adapt,-0.3062939196463801
adapted,0.43942351673178
adapting,-0.15097102690987857
adaptive,0.9492859989711093
adas,0.9492859989711093
add,-0.5062102979436883
added,-0.5983357180743041
addicted,-0.440651417233208
addiction,-1.3731613615177347
addictive,-0.5227049913149513
adding,-0.5623066701286601
addition,-0.2413956571523679
additional,-0.47201228768863335
additionally,0.5460937626034486
additive,-0.43947648351686486
additives,0.5443015529623803
address,-0.670684461709463
addressed,0.10130111471960909
addressing,-0.5592612408655856
adds,-0.9805167041734264
adelaide,0.2553167879497494
adenoma,0.9492859989711093
adenomas,-0.15097102690987857
adenomatous,1.644558578843368
adequate,-2.010053918155344
adequately,-0.5592612408655856
adesman,-0.43947648351686486
adhd,0.800865429600188
adhered,0.9492859989711093
adherence,-1.2545338207378445
adhering,-0.15097102690987857
adhesive,0.9505893678220081
adiponectin,0.9492859989711093
adjacent,0.9492859989711093
adjunct,-0.3062939196463801
adjust,0.16110660306436408
adjusted,0.8228068403789078
adjusting,-1.07506199927169
adjustment,-0.43947648351686486
adjustments,0.9505893678220081
adjusts,0.2553167879497494
adjuvant,-0.15097102690987857
administer,-0.4020189164611295
administered,-0.5578085666524191
administering,-0.25785419427745526
administers,0.2553167879497494
administration,-0.5306396708240685
admission,-0.1513178167429542
admissions,0.10130111471960909
admits,0.5443015529623803
admitted,-0.597643183524662
adolescence,-0.3062939196463801
adolescent,0.7041970167465302
adolescents,-0.21773795237942525
adopt,-0.4418327522790392
adopting,-0.1513178167429542
adrenal,1.644558578843368
adrenaline,-0.15097102690987857
ads,-1.1359239971054669
adult,-0.6394217812037822
adulthood,-0.033056382867218785
adults,-0.5746637366519268
advance,-0.2069488120430397
advanced,-0.028311632825891307
advancement,-0.43947648351686486
advancements,0.9492859989711093
advances,-0.017391742711869107
advancing,0.43942351673178
advantage,-0.09352605801082348
advantages,-0.7942940017544023
adverse,-0.9681359919396483
adversely,0.9505893678220081
advertisement,-0.46155457475920786
advertisements,-0.15097102690987857
advertising,-0.6634440975064683
advice,-0.6213889895786432
